159,5571,,1,11,27.19,1,21,2,4.8,4.66,
160,5586,,1,11,39.59,1,30,5,23,4.51,
161,5589,,1,11,41.37,1,65,1,8,5.57,
162,5594,,1,11,43.54,0,2,15,3.7,5.93,
163,5737,,1,13,43.8,1,7,34,31.8,5.21,
164,5742,,1,13,44.94,1,24,35,1.6,4.67,K0III...
165,5743,,1,13,45.17,1,7,34,42.2,6.44,
166,5778,,1,14,7.65,1,16,8,0.8,5.97,
167,5799,,1,14,23.97,0,7,55,24.6,5.14,
168,5824,,1,14,42.4,1,6,59,42.7,6.04,
169,5833,,1,14,49.18,0,0,58,27.5,5.7,
170,5862,,1,15,10.57,0,45,31,55.5,4.97,
171,5896,,1,15,45.5,0,68,52,34.5,4.25,
172,5951,,1,16,36.35,0,2,30,0.8,5.42,
173,6061,,1,17,47.98,1,3,36,52.3,5.13,
174,6193,,1,19,27.98,1,27,15,50.7,4.74,A3V
175,6226,,1,19,48.29,0,0,30,32.4,5.87,
176,6242,,1,20,4.92,1,58,13,53.8,4.95,
177,6312,,1,21,5.19,1,64,39,29.5,6.33,
178,6315,,1,21,7.35,1,28,44,18.2,5.23,
179,6411,Adhil,1,22,20.39,1,45,31,43.5,4.87,
180,6429,,1,22,34.82,0,0,26,58.7,6.5,
181,6514,,1,23,40.56,1,37,42,54,5.6,
182,6537,,1,24,1.45,0,8,10,57.9,3.6,K0III
183,6539,,1,24,2.43,0,8,0,26.1,6.21,
184,6670,,1,25,37.21,0,14,35,55.5,4.9,
185,6686,Ruchbah,1,25,48.6,1,60,14,7.5,2.66,A5Vv SB
186,6692,,1,25,55.9,1,68,7,47.8,4.72,
187,6706,,1,26,15.28,1,19,10,20.4,5.35,
188,6732,,1,26,41.65,1,19,14,26,5.5,
189,6748,,1,26,51.56,0,13,3,23.5,5.51,
190,6813,,1,27,39.09,1,45,24,25,4.83,
191,6867,,1,28,21.94,0,43,19,3.8,3.41,K5II-III
192,6960,,1,29,36.1,0,21,37,45.6,5.11,
193,6981,,1,29,52.83,1,18,21,20.4,6.01,
194,6999,,1,30,6.1,1,47,0,26.6,5.27,
195,7007,,1,30,10.94,1,6,8,38.2,4.84,K4III
196,7078,,1,31,13.52,1,70,15,53.2,5.82,
197,7083,,1,31,14.98,0,49,4,23.1,3.93,K0III-IV
198,7097,,1,31,28.99,1,15,20,45,3.62,G8III
199,7294,,1,33,55.93,1,59,13,55.5,4.68,
200,7345,,1,34,37.72,0,15,40,34.9,5.62,
201,7436,,1,35,46.44,1,14,39,41.2,6.23,
202,7450,,1,35,58.96,0,15,24,0.8,5.41,
203,7463,,1,36,8.43,0,29,54,26.8,5.69,
204,7513,,1,36,47.98,1,41,24,23,4.1,
205,7535,,1,37,5.96,1,12,8,29.4,5.54,
206,7588,Achernar,1,37,42.75,0,57,14,12,0.45,B3Vp
207,7607,,1,37,59.5,1,48,37,42.6,3.59,
208,7650,,1,38,30.94,1,73,2,24.3,5.28,
209,7719,,1,39,21.02,1,44,23,10.1,5.01,
210,7740,,1,39,40.77,1,16,24,21.2,5.98,
211,7751,,1,39,47.24,0,56,11,47.2,5.76,
212,7818,,1,40,34.8,1,40,34,37.6,4.96,
213,7879,,1,41,21.29,0,79,8,53.7,6.33,
214,7884,,1,41,25.91,1,5,29,15.4,4.45,K3III
215,7955,,1,42,8.65,0,32,19,36.7,5.25,
216,7965,,1,42,20.44,1,68,2,35,5.57,
217,7978,,1,42,29.15,0,53,44,26.1,5.52,
218,7981,,1,42,29.95,1,20,16,12.5,5.24,
219,8016,,1,42,55.73,1,70,37,21.2,5.18,
220,8046,,1,43,19.74,1,60,33,4.9,5.78,
221,8068,,1,43,39.62,1,50,41,19.6,4.01,
222,8102,,1,44,5.13,0,15,56,22.4,3.49,G8V
223,8159,,1,44,55.85,1,20,5,0.3,6.27,
224,8198,,1,45,23.59,1,9,9,27.5,4.26,K0III
225,8209,,1,45,38.65,0,25,3,8.8,5.29,
226,8241,,1,46,6.14,0,53,31,19.9,5.04,
227,8366,,1,47,46.69,0,80,10,34.2,6.05,
228,8387,,1,48,10.9,1,16,57,20.3,5.86,
229,8497,,1,49,35.19,0,10,41,10.3,4.66,
230,8544,,1,50,8.58,1,22,16,31.3,5.83,
231,8645,Baten Kaitos,1,51,27.61,0,10,20,5.8,3.74,K2III
232,8704,,1,51,59.31,1,55,8,50.7,5.53,
233,8714,,1,52,9.35,1,50,47,34.3,5.7,
234,8796,Mothallah,1,53,4.9,1,29,34,45.8,3.42,F6IV
235,8814,,1,53,17.35,1,40,43,47.3,5.42,
236,8832,Mesarthim,1,53,31.77,1,19,17,38.7,3.88,A1p Si
237,8833,,1,53,33.34,1,3,11,14.9,4.61,K0III SB
238,8837,,1,53,38.82,0,46,18,8.8,4.39,M4III SB
239,8882,,1,54,22.06,0,42,29,48.8,5.12,
240,8886,,1,54,23.68,1,63,40,12.5,3.35,B2pvar
241,8903,Sheratan,1,54,38.35,1,20,48,29.9,2.64,A5V...
242,8928,,1,54,56.01,0,67,38,50.9,4.68,
243,8991,,1,55,50.25,0,78,20,55.2,6.15,
244,8993,,1,55,51.03,1,23,34,38.4,5.76,
245,9007,,1,55,56.83,0,51,36,34.5,3.69,G5IV
246,9009,,1,56,0,1,68,41,7,4.97,
247,9021,,1,56,9.23,1,37,15,6.5,5.69,
248,9061,,1,56,40.16,0,22,31,36.2,4.92,
249,9110,,1,57,21.03,1,17,49,3.3,5.09,
250,9153,,1,57,55.78,1,23,35,45.9,4.79,
251,9222,,1,58,33.5,1,49,12,15.3,5.7,
252,9236,,1,58,45.87,0,61,34,11.7,2.86,F0V
253,9326,,1,59,46.19,0,20,49,28.5,5.43,
254,9347,,2,0,0.22,0,21,4,40,3.99,
255,9353,,2,0,9.02,1,3,5,51.5,5.89,
256,9440,,2,1,14.8,0,30,0,5.6,5.34,
257,9459,,2,1,42.4,0,44,42,48.2,5.15,
258,9480,,2,1,57.55,1,70,54,25.4,4.49,
259,9487,Alrescha,2,2,2.8,1,2,45,49.5,3.82,A2
260,9505,,2,2,18.07,1,54,29,15.2,4.99,
261,9564,,2,2,52.49,1,64,54,5.4,6,
262,9570,,2,2,57.97,1,33,17,2.9,5.5,
263,9573,,2,3,0.19,1,64,23,24.1,5.59,
264,9589,,2,3,11.61,1,0,7,42.4,5.42,
265,9598,,2,3,26.19,1,72,25,16.5,3.95,
266,9621,,2,3,39.26,1,25,56,7.6,5.64,
267,9631,,2,3,48.12,0,0,20,24.5,5.96,
268,9640,Almaak,2,3,53.92,1,42,19,47.5,2.1,B8V
269,9677,,2,4,29.43,0,29,17,48.6,4.68,
270,9727,,2,5,7.05,1,77,16,53.2,5.27,
271,9763,,2,5,31.58,1,76,6,54.4,5.22,
272,9836,,2,6,33.91,1,22,38,54.3,5.03,
273,9859,,2,6,49.22,1,25,42,16.5,6.01,
274,9884,Hamal,2,7,10.29,1,23,27,46,2.01,K2III
275,9977,,2,8,29.15,1,37,51,33.1,4.78,
276,10053,,2,9,25.29,1,25,56,23.9,4.98,
277,10064,,2,9,32.52,1,34,59,14.6,3,A5III
278,10155,,2,10,37.54,1,19,30,1.5,5.68,
279,10176,,2,10,52.83,1,39,2,22.5,6.09,
280,10180,,2,10,53.67,1,39,2,36,6.82,
281,10203,,2,11,12.06,1,25,56,13,6.01,
282,10212,,2,11,21.16,1,8,34,12.3,5.64,
283,10220,,2,11,25,1,31,31,35.1,6.24,
284,10227,,2,11,29.19,1,57,38,44,6.38,
285,10234,,2,11,35.84,0,1,49,31.3,5.94,
286,10280,,2,12,22.32,1,30,18,11.6,4.94,
287,10305,,2,12,47.32,0,2,23,36.5,5.65,
288,10306,,2,12,47.98,1,21,12,39.5,5.23,
289,10320,,2,12,54.46,0,30,43,25.8,5.27,
290,10324,,2,13,0.01,1,8,50,48.3,4.36,G8II:
291,10328,,2,13,3.25,1,15,16,47.7,5.72,
292,10340,,2,13,13.34,1,44,13,54.1,4.84,
293,10366,,2,13,36.02,1,51,3,58.4,5.31,
294,10418,,2,14,14.5,0,67,50,29.6,5.57,
295,10438,,2,14,29.1,1,66,31,28,6.05,
296,10513,,2,15,28.56,0,67,44,46.8,5.67,
297,10535,,2,15,42.83,1,25,2,35.7,5.57,
298,10540,,2,15,45.94,1,25,46,59.2,5.79,
299,10559,,2,15,56.3,1,33,21,32.3,5.25,A0V
300,10602,,2,16,30.5,0,51,30,43.6,3.56,B8IV-V
301,10642,,2,16,58.99,0,6,25,18.7,5.51,
302,10644,,2,17,2.42,1,34,13,29.4,4.84,
303,10670,,2,17,18.84,1,33,50,50.4,4.03,
304,10718,,2,17,59.82,1,57,53,59.3,5.75,
305,10729,,2,18,4.6,1,57,30,58.8,5.99,
306,10732,,2,18,7.55,1,19,54,4.2,5.58,
307,10793,,2,18,56.99,1,28,38,33.6,5.29,
308,10819,,2,19,16.85,1,47,22,48,5.31,
309,10826,Mira,2,19,20.79,0,2,58,37.4,6.47,M5e-M9e
310,10944,,2,20,58.17,1,50,9,5.5,5.57,
311,11001,,2,21,45.02,0,68,39,33.9,4.08,A3V
312,11021,,2,21,56.64,1,0,23,44.5,5.29,
313,11046,,2,22,12.41,0,0,53,5.1,5.42,
314,11060,,2,22,21.43,1,55,50,44.4,5.16,
315,11072,,2,22,32.42,0,23,48,58.7,5.19,
316,11095,,2,22,52.47,0,73,38,45,5.99,
317,11220,,2,24,24.89,1,50,0,23.9,5.19,
318,11249,,2,24,49.04,1,10,36,38.2,5.48,
319,11258,,2,24,53.99,0,60,18,41.9,5.36,
320,11261,,2,24,58.39,0,2,46,48.1,6.34,
321,11279,,2,25,16.03,1,56,36,35.4,6.25,
322,11313,,2,25,37.4,1,50,16,43.2,4.73,
323,11345,,2,25,57.01,0,12,17,25.6,4.88,A0V
324,11407,,2,26,59.1,0,47,42,13.8,4.24,B5IV
325,11432,,2,27,27.79,1,31,48,4.9,5.55,
326,11465,,2,27,51.75,1,50,34,12.7,6.16,
327,11477,,2,28,1.69,0,33,48,39.8,5.13,
328,11484,,2,28,9.52,1,8,27,36.3,4.3,B9III
329,11486,,2,28,9.99,1,29,40,10.3,5.29,
330,11548,,2,28,48.54,1,29,55,53.7,5.89,
331,11569,,2,29,3.99,1,67,24,8.6,4.46,
332,11678,,2,30,38.37,1,19,51,19.4,6.14,
333,11698,,2,30,54.38,1,17,42,14.6,6.21,
334,11757,,2,31,40.12,0,79,6,33.3,5.27,
335,11767,Polaris,2,31,47.08,1,89,15,50.9,1.97,F7:Ib-IIv SB
336,11783,,2,32,5.28,0,15,14,39.6,4.74,F5V
337,11784,,2,32,6.14,1,36,8,50,5.15,
338,11791,,2,32,9.44,0,1,2,5.3,5.36,
339,11843,,2,32,54.15,1,15,2,4.1,6,
340,11867,,2,33,7.04,0,34,38,59.7,5.91,
341,11918,,2,33,50.71,0,28,13,56.4,4.96,
342,12002,,2,34,42.59,0,7,51,33.4,5.74,
343,12086,,2,35,46.8,1,34,41,15.7,5.38,
344,12093,,2,35,52.49,1,5,35,35.9,4.87,G8III
345,12107,,2,36,0.07,0,7,49,53.2,5.53,
346,12122,,2,36,9.28,0,30,2,41.9,5.74,
347,12153,,2,36,37.75,1,12,26,52.2,5.64,
348,12184,,2,36,57.64,1,24,38,53.1,7.1,
349,12186,,2,36,58.62,0,34,34,38.4,5.78,
350,12189,,2,37,0.44,1,24,38,50.1,6.48,
351,12225,,2,37,24.26,0,52,32,35.1,5.3,
352,12247,,2,37,41.78,0,3,23,45.8,5.65,
353,12288,,2,38,18.6,0,30,11,38,5.84,
354,12332,,2,38,49,1,21,57,41.2,5.45,
355,12387,,2,39,28.95,1,0,19,42.7,4.08,B2IV
356,12390,,2,39,33.73,0,11,52,17.7,4.83,F5V
357,12394,,2,39,35.22,0,68,16,1,4.12,B9III
358,12413,,2,39,47.92,0,42,53,29.9,4.74,A2V
359,12484,,2,40,39.58,0,54,32,59.7,5.21,F4IV
360,12486,,2,40,39.93,0,39,51,19.1,4.11,K0III
361,12489,,2,40,41.03,1,27,3,39.6,5.3,
362,12530,,2,41,13.87,0,0,41,43.3,5.72,
363,12623,,2,42,14.93,1,40,11,39.8,4.91,
364,12640,,2,42,21.92,1,20,0,41.7,5.74,
365,12653,,2,42,33.16,0,50,48,3,5.4,
366,12692,,2,43,2.8,1,55,6,21.9,5.76,
367,12706,,2,43,18.12,1,3,14,10.2,3.47,A3V
368,12719,,2,43,27.11,1,27,42,25.8,4.65,
369,12768,,2,44,5.16,1,44,17,49.4,5.43,
370,12770,,2,44,7.35,0,13,51,31.2,4.24,B7IV
371,12777,,2,44,11.69,1,49,13,43.2,4.1,
372,12784,,2,44,19.09,1,17,45,50.5,6.4,
373,12803,,2,44,32.97,1,15,18,42.8,5.78,
374,12828,,2,44,56.37,1,10,6,51.2,4.27,F1III-IV
375,12832,,2,44,57.51,1,12,26,45.5,5.17,
376,12843,,2,45,5.98,0,18,34,21.5,4.47,F5/F6V
377,12871,,2,45,27.45,0,63,42,16.3,5.73,
378,12876,,2,45,32.53,0,67,37,0.2,4.83,
379,13040,,2,47,33.78,0,35,33,1.9,6.51,
380,13061,,2,47,54.44,1,29,14,50.7,4.52,
381,13108,,2,48,32.06,1,18,17,1.9,5.83,
382,13141,,2,49,1.37,0,62,48,23.7,5.25,
383,13147,,2,49,5.36,0,32,24,22.6,4.45,G8III
384,13165,,2,49,17.56,1,17,27,51.6,5.26,
385,13197,,2,49,50.99,0,24,33,36,6.14,
386,13202,,2,49,54.15,0,27,56,31.3,5.39,
387,13209,,2,49,58.99,1,27,15,38.8,3.61,B8Vn
388,13225,,2,50,14.75,0,35,50,37.3,5.92,
389,13244,,2,50,28.54,0,75,4,0.8,4.76,
390,13254,,2,50,34.91,1,38,19,8.1,4.22,F2III
391,13265,,2,50,40.4,0,35,40,32.6,5.48,
392,13268,,2,50,41.79,1,55,53,43.9,3.77,K3Ib comp SB
393,13288,,2,51,2.35,0,21,0,14.3,4.76,
394,13327,,2,51,29.57,1,15,4,55.7,5.52,
